customer_id,full_name,age,gender,region,account_type,account_open_date,tenure_years,credit_score,annual_income,account_balance,num_products,monthly_transactions,complaints_12mo,debt_to_income,digital_engagement,has_active_loan,has_credit_card,churned,annual_income_cleaned,complaints_12mo_missing,credit_score_missing,gender_missing
CUST-007684,Eric Flores,62,Female,Metro Manila,Checking,1990-01-01,2.2,684.0,38405,56001.16,4.0,22.0,3.0,0.339,61.6,0,0.0,0,38405.0,0,1,0
CUST-003889,Mary Peterson,43,Female,Cebu,Business,1990-01-02,5.1,843.0,48383,46276.31,2.0,26.0,0.0,0.258,71.2,0,1.0,0,48383.0,0,0,0
CUST-006548,Jeremy Nicholson,31,Female,Luzon,Premium,1990-01-03,0.7,759.0,108844,71718.35,1.0,20.0,0.0,0.55,61.6,0,1.0,0,108844.0,0,0,0
CUST-002151,Walter Hansen,39,Male,Luzon,Business,1990-01-04,0.1,737.0,"$34,782",62700.21,1.0,23.0,0.0,0.2,48.4,1,1.0,0,34782.0,0,0,0
CUST-006609,Bailey Hughes,31,Male,Davao,Savings,1990-01-06,12.7,684.0,43453.00,94245.4,1.0,29.0,5.0,0.079,84.2,1,1.0,0,43453.0,0,1,0
CUST-008354,Justin Chapman,52,Male,Metro Manila,Checking,1990-01-07,6.2,600.0,40034,8233.32,6.0,27.0,2.0,0.346,72.0,1,0.0,0,40034.0,0,0,0
CUST-003899,Brittany Heath,47,Female,Davao,Savings,1990-01-09,3.7,631.0,"$54,612",105749.15,3.0,14.0,0.0,0.059,69.3,0,1.0,0,54612.0,0,0,0
CUST-006897,Terry Rivera,32,Female,Davao,Savings,1990-01-12,2.0,792.0,53169,62743.03,1.0,18.0,0.0,0.025,54.4,1,0.0,0,53169.0,0,0,0
CUST-002776,Ryan Palmer,38,Female,Visayas,Savings,1990-01-13,4.5,684.0,33832,88975.09,2.0,18.0,0.0,0.196,31.6,0,1.0,0,33832.0,0,1,0
CUST-004412,Seth Barker,41,Female,Metro Manila,Checking,1990-01-15,12.4,461.0,PHP 154k,50066.8,4.0,18.0,0.0,0.022,16.1,0,1.0,0,154000.0,0,0,1
CUST-002909,Kim Underwood,36,Male,Davao,Checking,1990-01-17,3.1,613.0,PHP 38k,101693.86,2.0,18.0,0.0,0.201,77.7,0,1.0,0,38000.0,0,0,0
CUST-004304,Amy Holt,51,Female,Cebu,Checking,1990-01-18,8.1,595.0,88873,175911.11,3.0,15.0,2.0,0.248,83.1,1,1.0,0,88873.0,0,0,0
